"","Method","sub1","sub2","sub3","sub4","SampleSize"
"1","BHM_IG",10,10,10,10,119.9
"2","BHM_HT",10,10,10,10,136.1
"3","CBHM_E",10,10,10,10,144
"4","CBHM_ET",10,10,10,10,129.8
"5","GCBHM_L",10,10,10,10,121.1
"6","BHM_IG",77.7,77.4,78.1,77,167.1
"7","BHM_HT",71.5,71.5,70.8,70,169.7
"8","CBHM_E",31.9,32.3,31.4,32.3,164
"9","CBHM_ET",50.5,50.5,52.6,50,161.3
"10","GCBHM_L",58.8,58.2,57.2,58.4,161.9
"11","BHM_IG",99.2,99.1,99.3,99,179.5
"12","BHM_HT",95.9,96.3,96,95.9,178.9
"13","CBHM_E",80.7,82.6,82.3,81.3,178.4
"14","CBHM_ET",82.8,82.4,84.1,82.3,175.9
"15","GCBHM_L",87.6,87.7,87.5,88.4,175.6
"16","BHM_IG",81.9,79.8,78.7,71.9,168
"17","BHM_HT",75.7,75,69.2,57.2,170.2
"18","CBHM_E",31.9,32.8,31.2,31.9,163.9
"19","CBHM_ET",56.8,56.2,52.7,37.2,161
"20","GCBHM_L",67.6,64.4,55.9,40.3,161.6
"21","BHM_IG",79.8,83.3,87,87.4,174.2
"22","BHM_HT",61.5,73,78.4,80.2,174
"23","CBHM_E",31.7,56,79.4,93.3,175.1
"24","CBHM_ET",35.9,50.1,62.6,63.8,167.4
"25","GCBHM_L",43.5,58.9,67.3,71.8,164.7
"26","BHM_IG",60.7,96.5,96.7,96.5,176.4
"27","BHM_HT",30.8,94.6,94.2,93.9,173.5
"28","CBHM_E",15.7,78.7,79.3,77.9,173
"29","CBHM_ET",11.5,81.5,83.2,81.5,166.7
"30","GCBHM_L",12.1,87.2,86.7,87.7,165.3
"31","BHM_IG",47.1,46.2,92,91.5,168.9
"32","BHM_HT",23.2,23.5,90,90.3,165.1
"33","CBHM_E",12.3,12.5,76.3,76.6,166.1
"34","CBHM_ET",10.8,11,82.4,81,157.1
"35","GCBHM_L",12.8,11.8,85.8,86,154.3
"36","BHM_IG",42.8,43,72.9,84.8,163.4
"37","BHM_HT",23.1,23,65.3,88.8,163
"38","CBHM_E",12.6,13.1,51.3,75.8,164.6
"39","CBHM_ET",11.4,11.2,51.9,80.4,154.2
"40","GCBHM_L",12.9,12,54.2,82.8,150.1
"41","BHM_IG",29.9,30.8,31.9,75.6,152.3
"42","BHM_HT",16.3,17.5,17.1,83.8,154.4
"43","CBHM_E",11,11,10.8,73.7,158.5
"44","CBHM_ET",10.7,10.9,10.9,78.7,145.5
"45","GCBHM_L",11.4,10.7,11.1,81,141.5
