"","Scenario","Method","#Interim","sub1","sub2","sub3","sub4","SampleSize"
"1",1,"GCBHM_L","1",10,10,10,10,160.8
"2",1,"","2",10,10,10,10,154.5
"3",1,"","3",10,10,10,10,146.1
"4",1,"GCBHM_M","1",10,10,10,10,162.1
"5",1,"","2",9.9,10,10,10,150.6
"6",1,"","3",10,10,10,10,146.6
"7",2,"GCBHM_L","1",92.5,92.7,92.2,92.8,179.8
"8",2,"","2",92.4,92.8,92.2,91.7,179.5
"9",2,"","3",92,93.1,92.2,91.8,178.8
"10",2,"GCBHM_M","1",94.1,93.6,93.2,94.1,179.8
"11",2,"","2",93.7,92.9,93.3,93.7,179.3
"12",2,"","3",93.3,93.7,93.7,94.2,179.3
"13",3,"GCBHM_L","1",90.6,91.9,91.2,92.5,179.5
"14",3,"","2",90.8,90.7,90,90.4,178.8
"15",3,"","3",91.2,90.9,91.1,90.2,178.1
"16",3,"GCBHM_M","1",92.4,92.3,91.7,93,179.6
"17",3,"","2",91.9,91.5,91.3,92.5,178.9
"18",3,"","3",91.4,91.5,91.9,92.6,178.8
"19",4,"GCBHM_L","1",73.8,92.2,99.3,100,179.6
"20",4,"","2",74.4,91.8,99.1,100,179.5
"21",4,"","3",73.6,91.8,99.5,100,179
"22",4,"GCBHM_M","1",65.6,90.1,99.4,100,179.6
"23",4,"","2",64.1,90.6,99.2,100,178.6
"24",4,"","3",63.9,90.2,99.3,100,179.1
"25",5,"GCBHM_L","1",13.9,13.7,90.2,90.4,174
"26",5,"","2",13.4,13.6,86.8,87.6,171.6
"27",5,"","3",13.5,14.1,89.3,88.4,168.7
"28",5,"GCBHM_M","1",12.8,12.6,90.5,91.7,174.7
"29",5,"","2",12.9,13,90.6,90.9,169.6
"30",5,"","3",12.3,13.2,90.2,91.5,168.9
"31",6,"GCBHM_L","1",18.6,90.9,90.2,91.6,176.9
"32",6,"","2",17.7,90.5,89.4,89.2,175.8
"33",6,"","3",19.6,91.6,90.7,89.2,174.3
"34",6,"GCBHM_M","1",17.4,91.5,90.9,92.3,177.4
"35",6,"","2",17.1,91.2,91.1,91.8,174.8
"36",6,"","3",17.2,91.3,91,92.8,174.4
"37",7,"GCBHM_L","1",13.7,13.9,99.4,99.5,175.4
"38",7,"","2",14.7,13.8,99.2,99.1,173
"39",7,"","3",13.4,13.9,99.4,99,170.3
"40",7,"GCBHM_M","1",10.1,9.8,99.4,99.7,174.8
"41",7,"","2",9.7,10.2,99.4,99.5,168.9
"42",7,"","3",9.1,10.4,99.4,99.6,169.5
"43",8,"GCBHM_L","1",13.8,13.5,65.9,89.2,173.2
"44",8,"","2",13.3,12.7,64.9,86.6,170.8
"45",8,"","3",12.7,13.7,64.5,86.1,167.3
"46",8,"GCBHM_M","1",12.5,12.6,65.9,91,174.4
"47",8,"","2",13.4,13.2,65.7,90.5,169
"48",8,"","3",12.4,13.7,65.3,90,167.6
