"","Scenario","Method","nj","sub1","sub2","sub3","sub4","SampleSize"
"1",1,"GCBHM_L","36",10,10,10,10,124.2
"2",1,"","45",10,10,10,10,154.5
"3",1,"","54",10,10,10,10,180.4
"4",1,"GCBHM_M","36",10,10,10,10,123.8
"5",1,"","45",9.9,10,10,10,150.6
"6",1,"","54",10,10,10,10,180.9
"7",2,"GCBHM_L","36",88.6,87.4,87.8,87.6,143.1
"8",2,"","45",92.4,92.8,92.2,91.7,179.5
"9",2,"","54",95.5,95.8,95.2,95.4,215.4
"10",2,"GCBHM_M","36",89.8,90.6,90.5,91,143.5
"11",2,"","45",93.7,92.9,93.3,93.7,179.3
"12",2,"","54",95.6,95.6,95.3,96.3,215.4
"13",3,"GCBHM_L","36",85.3,84.1,84.6,84.7,142.6
"14",3,"","45",90.8,90.7,90,90.4,178.8
"15",3,"","54",94,94.4,94.4,94.7,214.9
"16",3,"GCBHM_M","36",87.5,87.9,87.9,89.5,143.2
"17",3,"","45",91.9,91.5,91.3,92.5,178.9
"18",3,"","54",94.7,94.9,94.6,95.3,215.1
"19",4,"GCBHM_L","36",67.9,85.2,98.3,99.7,143.2
"20",4,"","45",74.4,91.8,99.1,100,179.5
"21",4,"","54",76.8,95.2,99.8,100,215.5
"22",4,"GCBHM_M","36",52.3,84.3,97.8,100,143.4
"23",4,"","45",64.1,90.6,99.2,100,178.6
"24",4,"","54",68.4,93.9,99.9,100,214.9
"25",5,"GCBHM_L","36",14.3,13.9,82.8,81.8,137
"26",5,"","45",13.4,13.6,86.8,87.6,171.6
"27",5,"","54",12.9,13.5,92.9,94.4,204.1
"28",5,"GCBHM_M","36",12.6,13.8,83.8,86.4,137.3
"29",5,"","45",12.9,13,90.6,90.9,169.6
"30",5,"","54",11.7,11.5,93.8,94.8,204.8
"31",6,"GCBHM_L","36",19,83.6,84,84.3,140.5
"32",6,"","45",17.7,90.5,89.4,89.2,175.8
"33",6,"","54",17.3,94.5,93.4,94.6,209.8
"34",6,"GCBHM_M","36",18.9,85.8,86,88,140.5
"35",6,"","45",17.1,91.2,91.1,91.8,174.8
"36",6,"","54",14.8,94.4,94.1,95.2,210.4
"37",7,"GCBHM_L","36",15,14.9,97.6,98,138.2
"38",7,"","45",14.7,13.8,99.2,99.1,173
"39",7,"","54",11.9,13.7,99.7,99.8,206.3
"40",7,"GCBHM_M","36",8,10.1,97.9,98.4,137.5
"41",7,"","45",9.7,10.2,99.4,99.5,168.9
"42",7,"","54",9.3,9.3,99.7,99.9,204.1
"43",8,"GCBHM_L","36",13.3,12.7,55.7,80.3,135.9
"44",8,"","45",13.3,12.7,64.9,86.6,170.8
"45",8,"","54",11.4,13.1,71.8,93.6,203.4
"46",8,"GCBHM_M","36",13.5,14.6,55.9,85,136.4
"47",8,"","45",13.4,13.2,65.7,90.5,169
"48",8,"","54",12.1,11.8,69.7,94.8,204.3
