"","Scenario","Response","Method","Bias_sub1","Bias_sub2","Bias_sub3","Bias_sub4","SE_sub1","SE_sub2","SE_sub3","SE_sub4","RMSE_sub1","RMSE_sub2","RMSE_sub3","RMSE_sub4"
"1",1,"Efficacy","BHM_IG",-0.01,-0.01,-0.01,-0.01,0.88,0.87,0.87,0.88,0.063,0.063,0.063,0.063
"2",1,"Efficacy","CBHM_E",-0.02,-0.03,-0.02,-0.02,1.37,1.38,1.37,1.36,0.099,0.101,0.1,0.099
"3",1,"Efficacy","CBHM_ET",-0.02,-0.02,-0.02,-0.02,1.42,1.41,1.44,1.43,0.103,0.102,0.104,0.103
"4",1,"Efficacy","GCBHM_L",-0.01,-0.01,-0.02,-0.01,1.52,1.53,1.48,1.53,0.108,0.109,0.105,0.109
"5",1,"Toxicity","BHM_IG",0.01,0.01,0.01,0.01,0.81,0.81,0.81,0.79,0.058,0.058,0.058,0.056
"6",1,"Toxicity","CBHM_ET",0.02,0.02,0.02,0.01,1.47,1.44,1.46,1.43,0.105,0.103,0.104,0.102
"7",1,"Toxicity","GCBHM_L",0.02,0.02,0.01,0.02,1.4,1.41,1.41,1.43,0.101,0.101,0.1,0.103
"8",2,"Efficacy","BHM_IG",-0.01,-0.01,-0.01,-0.01,0.74,0.75,0.75,0.74,0.053,0.053,0.053,0.053
"9",2,"Efficacy","CBHM_E",-0.01,-0.02,-0.02,-0.01,1.33,1.33,1.33,1.31,0.095,0.096,0.096,0.094
"10",2,"Efficacy","CBHM_ET",-0.02,-0.02,-0.02,-0.02,1.35,1.36,1.37,1.35,0.097,0.097,0.098,0.097
"11",2,"Efficacy","GCBHM_L",-0.01,-0.01,-0.01,-0.01,1.35,1.37,1.35,1.37,0.097,0.098,0.096,0.098
"12",2,"Toxicity","BHM_IG",0,0,0,0,0.53,0.52,0.52,0.52,0.037,0.037,0.037,0.037
"13",2,"Toxicity","CBHM_ET",0,0,0,0,1.06,1.05,1.07,1.05,0.075,0.074,0.076,0.074
"14",2,"Toxicity","GCBHM_L",0,0,0,0,1,1.03,1,1.02,0.071,0.073,0.071,0.072
"15",3,"Efficacy","BHM_IG",0,0,0,0,0.58,0.58,0.57,0.58,0.041,0.041,0.04,0.041
"16",3,"Efficacy","CBHM_E",-0.01,0,0,0,1.12,1.06,1.07,1.1,0.079,0.075,0.076,0.078
"17",3,"Efficacy","CBHM_ET",0,0,0,0,1.09,1.12,1.08,1.11,0.077,0.079,0.076,0.079
