"","Scenario","Response","Method","Bias_sub1","Bias_sub2","Bias_sub3","Bias_sub4","SE_sub1","SE_sub2","SE_sub3","SE_sub4","RMSE_sub1","RMSE_sub2","RMSE_sub3","RMSE_sub4"
"1",1,"CR","BHM",-0.01,-0.01,-0.01,-0.01,0.49,0.49,0.49,0.49,0.036,0.036,0.036,0.036
"2",1,"CR","GCBHM_L",-0.01,-0.01,-0.01,-0.01,0.84,0.86,0.86,0.86,0.06,0.061,0.061,0.061
"3",1,"CR","GCBHM_M",-0.01,-0.01,-0.01,-0.01,0.76,0.76,0.76,0.75,0.055,0.055,0.055,0.054
"4",1,"CR/PR","BHM",-0.01,-0.01,-0.01,-0.01,0.65,0.64,0.65,0.64,0.047,0.046,0.047,0.046
"5",1,"CR/PR","GCBHM_L",-0.01,-0.01,-0.01,-0.01,1.13,1.17,1.16,1.17,0.08,0.084,0.083,0.083
"6",1,"CR/PR","GCBHM_M",-0.01,-0.01,-0.01,-0.01,1.09,1.08,1.09,1.06,0.078,0.077,0.078,0.076
"7",2,"CR","BHM",0,0,0,0,0.47,0.47,0.47,0.47,0.033,0.033,0.033,0.033
"8",2,"CR","GCBHM_L",0,0,0,0,0.86,0.84,0.85,0.86,0.061,0.059,0.06,0.061
"9",2,"CR","GCBHM_M",0,0,0,0,0.83,0.83,0.81,0.81,0.059,0.059,0.057,0.057
"10",2,"CR/PR","BHM",0,0,0,0,0.55,0.55,0.55,0.55,0.039,0.039,0.039,0.039
"11",2,"CR/PR","GCBHM_L",0,0,0,0,1.01,0.98,1.01,1.03,0.071,0.069,0.071,0.073
"12",2,"CR/PR","GCBHM_M",0,0,0,0,0.98,1,1,0.98,0.069,0.071,0.071,0.069
"13",3,"CR","BHM",0,0,0,0,0.38,0.38,0.38,0.38,0.027,0.027,0.027,0.027
"14",3,"CR","GCBHM_L",0,0,0,0,0.72,0.71,0.71,0.72,0.051,0.05,0.051,0.051
"15",3,"CR","GCBHM_M",0,0,0,0,0.67,0.66,0.64,0.65,0.047,0.047,0.045,0.046
"16",3,"CR/PR","BHM",0,0,0,0,0.55,0.56,0.55,0.55,0.039,0.039,0.039,0.039
"17",3,"CR/PR","GCBHM_L",0,-0.01,0,0,1.03,1.04,1.07,1.05,0.073,0.073,0.075,0.075
"18",3,"CR/PR","GCBHM_M",0,0,0,0,1.03,1.03,1.02,1,0.073,0.073,0.072,0.071
"19",4,"CR","BHM",0,0,0,-0.01,0.57,0.57,0.57,0.57,0.041,0.041,0.04,0.041
"20",4,"CR","GCBHM_L",0.01,0.01,0.01,0.01,0.9,0.87,0.85,0.88,0.064,0.062,0.06,0.063
"21",4,"CR","GCBHM_M",0,0,0,0,1.03,0.96,0.91,0.91,0.073,0.068,0.065,0.065
"22",4,"CR/PR","BHM",0.06,0.02,-0.02,-0.06,0.92,0.77,0.77,0.88,0.086,0.059,0.057,0.085
"23",4,"CR/PR","GCBHM_L",0,-0.01,-0.01,-0.01,1.13,1.04,1.02,1,0.08,0.074,0.073,0.071
"24",4,"CR/PR","GCBHM_M",0,0,0,0,1.18,1.15,1.05,0.97,0.083,0.081,0.074,0.068
"25",5,"CR","BHM",0.04,0.04,-0.04,-0.04,0.46,0.46,0.51,0.5,0.052,0.052,0.055,0.054
"26",5,"CR","GCBHM_L",0,0,0,0.01,0.92,0.91,0.95,0.96,0.065,0.065,0.067,0.068
"27",5,"CR","GCBHM_M",-0.01,-0.01,0,0,0.91,0.92,0.93,0.93,0.065,0.066,0.066,0.066
"28",5,"CR/PR","BHM",0.07,0.07,-0.07,-0.07,0.7,0.7,0.76,0.75,0.087,0.086,0.091,0.09
"29",5,"CR/PR","GCBHM_L",-0.01,-0.01,-0.01,-0.01,1.18,1.18,1.1,1.11,0.084,0.085,0.078,0.079
"30",5,"CR/PR","GCBHM_M",-0.01,-0.01,-0.01,0,1.27,1.27,1.14,1.14,0.09,0.091,0.081,0.08
"31",6,"CR","BHM",0.06,-0.02,-0.02,-0.02,0.47,0.48,0.48,0.47,0.072,0.04,0.04,0.04
"32",6,"CR","GCBHM_L",0,0.01,0.01,0.01,0.94,0.92,0.92,0.9,0.067,0.065,0.065,0.064
"33",6,"CR","GCBHM_M",0,0,0,0,0.94,0.93,0.91,0.91,0.066,0.066,0.064,0.064
"34",6,"CR/PR","BHM",0.12,-0.04,-0.04,-0.04,0.74,0.64,0.63,0.62,0.127,0.059,0.059,0.059
"35",6,"CR/PR","GCBHM_L",-0.01,-0.01,-0.01,-0.01,1.26,1.08,1.07,1.05,0.09,0.077,0.076,0.074
"36",6,"CR/PR","GCBHM_M",-0.01,-0.01,-0.01,0,1.34,1.1,1.11,1.1,0.095,0.078,0.079,0.078
"37",7,"CR","BHM",0.03,0.03,-0.03,-0.03,0.49,0.49,0.56,0.57,0.046,0.046,0.051,0.051
"38",7,"CR","GCBHM_L",0,0.01,0.01,0.01,0.94,0.92,0.9,0.92,0.067,0.066,0.064,0.065
"39",7,"CR","GCBHM_M",-0.01,-0.01,0,0,0.93,0.93,0.89,0.92,0.067,0.067,0.063,0.065
"40",7,"CR/PR","BHM",0.07,0.06,-0.07,-0.07,0.91,0.91,0.94,0.95,0.091,0.091,0.095,0.093
"41",7,"CR/PR","GCBHM_L",-0.01,-0.01,-0.01,-0.01,1.19,1.17,1.04,1.04,0.085,0.083,0.074,0.074
"42",7,"CR/PR","GCBHM_M",-0.02,-0.02,0,0,1.26,1.26,1.05,1.05,0.091,0.091,0.074,0.074
"43",8,"CR","BHM",0.04,0.04,-0.04,-0.04,0.47,0.47,0.52,0.51,0.053,0.052,0.058,0.056
"44",8,"CR","GCBHM_L",0,0,0,0.01,0.92,0.92,0.99,0.97,0.065,0.065,0.07,0.069
"45",8,"CR","GCBHM_M",-0.01,-0.01,-0.01,0,0.91,0.92,1,0.93,0.064,0.065,0.071,0.066
"46",8,"CR/PR","BHM",0.06,0.06,-0.02,-0.09,0.66,0.65,0.64,0.81,0.072,0.072,0.052,0.109
"47",8,"CR/PR","GCBHM_L",-0.01,-0.01,0,-0.01,1.18,1.18,1.11,1.16,0.084,0.084,0.079,0.083
"48",8,"CR/PR","GCBHM_M",-0.01,-0.01,-0.01,-0.01,1.25,1.25,1.16,1.17,0.089,0.09,0.083,0.083
