"","Scenario","#Interim","sub1","sub2","sub3","sub4","SampleSize"
"1",1,"1",10,10,10,10,138.6
"2",1,"2",10,10,10,10,121.1
"3",1,"3",10,10,10,10,112.3
"4",2,"1",57.7,58.3,56.6,57.4,169.2
"5",2,"2",58.8,58.2,57.2,58.4,161.9
"6",2,"3",58.3,58.6,58.4,58,157.5
"7",3,"1",87.8,87.8,86.8,87.4,178.1
"8",3,"2",87.6,87.7,87.5,88.4,175.6
"9",3,"3",86.9,88.1,87.4,87,174
"10",4,"1",68,65.9,57.3,39.9,169.1
"11",4,"2",67.6,64.4,55.9,40.3,161.6
"12",4,"3",65.6,64.6,56.1,38.7,156.4
"13",5,"1",43,59.3,67.7,72.4,171.5
"14",5,"2",43.5,58.9,67.3,71.8,164.7
"15",5,"3",44.5,59.4,65.9,69.4,160.2
"16",6,"1",11.4,87.3,86.3,87.3,171.1
"17",6,"2",12.1,87.2,86.7,87.7,165.3
"18",6,"3",12.5,86.2,87.7,85.9,161.8
"19",7,"1",11.5,11.8,85.3,85.9,165.2
"20",7,"2",12.8,11.8,85.8,86,154.3
"21",7,"3",12,12.4,84.5,82.8,148.4
"22",8,"1",11.8,12.9,56.4,84.4,161.9
"23",8,"2",12.9,12,54.2,82.8,150.1
"24",8,"3",12.9,12.2,55.9,81.9,144.6
"25",9,"1",11.4,10.8,11,81.6,155.6
"26",9,"2",11.4,10.7,11.1,81,141.5
"27",9,"3",12.5,11.5,11.9,78.6,132.6
